103,2.2538e+05,0
1440,59159,0.31773
10140,18720,0.2662
11880,5.277e+06,0
16140,1.6474e+05,0
2160,2.0288e+05,0.00025274
452,37146,0.04162
89,14649,0
5880,7.2698e+05,0
3411,2.0016e+05,0
7500,5.5043e+05,1.0543
3540,1.4128e+05,1.0543
2790,92800,0.02447
2668,389.4,0
4200,4.5079e+05,0.0023924
2089,1.0156e+05,0.029799
1440,2.1214,0.0023892
240,94434,0.10384
3300,1.3895e+05,0.002385
240,1.191e+05,0.0095321
360,65961,0.0095321
5040,1.246e+05,0
115,1.2114e+05,0
8766,53391,0.63573
3618,1.6093e+05,0.019555
1528,57.265,0
120,46722,0.0095296
5820,2.5987e+05,0.0023862
4920,2.3962e+05,0
1380,31916,0.040472
131,1.0146e+05,0
115,5.1242e+05,0
1,39198,1.3427
5190,86075,1.3427
1950,93586,0.93171
1800,35982,0
599,1.797e+05,1.4696
17865,31069,1.0334
2250,4.6638e+05,0
285,99888,0
4285,3.1609e+05,0.79453
270,3.2026,4.5475
7800,2.6029e+05,0.0012846
480,2.4658e+05,0.81635
8054,1.3613e+05,0
6685,1.558e+05,0.70415
624,1.3103e+05,0
5250,2.2533e+05,0
1530,1.8234e+05,0.019325
600,1.1579e+05,0.022764
14640,6.6964e+05,0
374,6.4287e+05,0
535,2.83e+05,0
2460,14509,0
12060,1.5486e+06,0
11100,4.6479e+05,0
1560,1.7587e+05,0
5460,3.962e+05,0
1890,1.2581e+05,0
960,14509,0
8280,4.029e+05,0
360,1.0019e+05,0
2070,1.4498e+05,1.918
5840,1.6765e+05,0.001627
180,58685,0.83821
360,97842,0
180,33805,0.83659
14040,7.4319e+05,0.42161
4020,1.5475e+05,1.243
1380,93977,0
240,56701,0
5760,1.3658e+05,0.010056
420,1.1684e+05,1.1618
390,59142,1.1618
6810,2.0965e+05,0.0011559
3240,41744,0.039122
3960,6.0608e+05,2.5891
7620,1.1931e+05,0.0011559
720,6.5953e+05,0
2760,1.8584e+05,0
5550,1.15e+05,0
126,1.7397e+05,0
4410,1.933e+05,0.14195
1440,65932,0
8880,4.0405e+05,3.3858
6510,55123,0.00045435
18804,2.8725e+05,0
1620,3.4379e+05,0.8522
6240,4.3662e+05,0
1080,1.7624e+06,0
25500,57090,0
8160,1.2273e+05,0.0018751
2939,2.8326e+05,0.0018751
1865,60350,0
7380,5.8376e+05,1.2861
198,4.0663e+05,0
5970,2.2817e+05,0.91522
4440,3.7706e+05,0
2498,97786,0.91522
3720,1.6893e+05,0
485,1.8035e+05,0
6420,2.6114e+05,0.0021415
448,1.275e+05,0.56256
2645,55093,1.5746
2370,58440,0.15116
3325,3.0376e+05,0
2610,1.4663e+05,0
180,77516,0
1792,1.0735e+05,0
168,95899,0
7800,3.2631e+05,0.0012307
10576,15937,0.29718
720,1.5237e+05,0.067555
7371,4.3795e+05,2.4244
270,65673,0
4140,1.2994e+05,0.025454
1680,4.217e+05,0.17237
16212,1.5937e+05,0.60496
2140,1.3601e+05,2.4073
5135,81488,2.3145
120,1.2195e+05,0
8940,1.0429e+05,2.3145
700,53550,0.011815
22769,1.1408e+06,0.90347
9630,2.8521e+05,0.90347
6312,2.9271e+05,1.6127
9600,77269,0.85976
9150,1.3418e+05,0.0028493
2760,1.7701e+05,1.4991
5070,3.2179e+05,0
1764,6.9886e+05,5.7123
2640,2.2854e+05,2.2121
690,31166,2.5989
950,7.4649e+05,1.0004
660,7.3545e+05,0
3604,8.1278e+05,1.0004
480,69387,0
3060,2.8616e+05,0
1830,1.3955e+05,1.8095
2400,68327,0.001577
3540,2.0627e+05,0
3600,71432,0.0007121
2580,1.8839e+05,0.32336
480,1.1947e+05,0.1455
385,1.5093e+05,0
78,46589,0.099884
2790,1.0362e+05,0
96,82516,0
7609,5.5715e+05,0.13458
5070,77644,0.0012524
1620,54890,2.0106
5556,2.5646e+05,2.6866
37,1.0215e+05,2.2761
13252,6.7753e+05,2.39
13650,3.1683e+05,2.068
3637,1.3902e+05,0.002275
15180,8.7913e+05,1.6147
4110,90126,0.086603
3584,34213,0.91276
300,1.7037e+05,0
120,90535,0.073932
598,52739,0
1037,3.2102e+05,0.9021
75,1.144e+05,0
4875,2.2131e+05,5.3145
1950,87653,0
2879,1.7341e+05,0.046962
110,1.7487e+05,0
810,95762,1.3924
7319,1.1318e+05,0.25707
1826,3.5458e+05,0
8202,3.7123e+05,0.072437
11850,1.5554e+05,0.072437
333,97178,0.044442
4710,42832,1.2397
5370,3.1959e+05,0.044442
8670,68031,6.3878
424,1.6066e+05,0
3569,1.0615e+05,4.3558
224,160.86,4.4335
270,54958,0.072437
60,6.3714e+05,0.48363
334,67445,3.8239
5580,2.4852e+05,0.071565
3872,93779,0.14002
1470,50673,0.0053149
11404,95674,2.8969
618,6.9978e+05,0.4354
410,1.0186e+05,0.11673
5071,52934,0
5100,2.2326e+05,0
17812,5.5786e+05,0
165,59272,0
20416,1.1334e+05,0
4544,1.0796e+05,1.9745
10499,8.4064e+05,0
11531,5.1101e+05,0.0064872
6938,1.0496e+05,0.19841
5273,1.3552e+05,0.19841
1920,1.6123e+05,0
6120,37793,1.7074
10726,1.1968e+05,1.7074
2947,1.0799e+06,0.84796
1400,80844,0.48891
7650,2.57e+05,0.3836
5115,2.385e+05,0.3836
2220,70960,5.377
185,1.4393e+05,0
3570,8.6022e+05,0
4740,1.0195e+05,0.32273
10274,7.0748e+05,0
2710,1.6312,0.32273
15180,7861,0
23053,1.2123e+05,0.4381
570,29285,6.5789
960,1.7519e+05,0
210,1.6681e+05,0.012306
5160,1.1107e+05,0.39027
2910,1.6681e+05,0.012306
2108,8.3164e+05,2.3197
2640,3.0123e+05,0
3540,73937,0.5604
90,1.3539e+05,0.6002
9230,60814,1.358
2135,1.7438e+05,0
5280,3.6153e+05,4.1072
136,2.156e+05,0.021559
1200,1.1031e+05,0
2819,1.034e+05,0.13445
3840,1.5857e+05,0
2092,7.9102e+05,0
868,60739,0.19808
3915,78331,0.34742
106,5.4841e+05,5.804
390,2.906e+05,2.8158
3480,2.4552e+05,0.11489
1013,43608,0.016982
2295,68473,0.45561
1460,48575,0.00083875
14190,5.7286e+05,0.96366
6070,49611,0.96366
7200,1.7699e+05,3.816
2772,1.52e+05,0
9450,47896,1.0421
7080,1.8738e+05,1.0421
6300,2.2474e+05,5.4661
120,1.5965e+05,1.0421
2520,93732,1.9992
7320,34368,1.9992
5380,1.4917e+05,0.99883
3365,1.5598e+05,0
9779,4.561e+05,0.050093
9540,1.081e+05,2.3231
2865,1.0083e+05,0.96025
360,35842,6.3697
3420,1.5201e+05,1.4262
600,1.0464e+05,0.15905
513,85393,1.4262
7020,1.9004e+05,0.062236
7709,2.983e+05,0.5705
6030,1.3345e+05,0.1335
2970,1.2177e+05,5.0582
76,1.5553e+05,0
4260,85806,0.1335
7700,4.642e+05,4.0597
3040,2.5271e+05,0
235,1.0993e+05,0
144,74641,0
390,1.5637e+05,0
4806,1.9699e+05,0
855,2.0584e+05,0
5610,83713,0.16684
940,36671,3.7075
685,1.5298e+05,4.3681
1019,1.4441e+05,0.34443
6232,69627,0.70613
2895,24773,2.3608
3000,1.6986e+05,3.2785
3000,1.353e+05,12.068
480,1.0723e+05,2.0141
2820,2.9823e+05,0.41478
2100,1.1229e+05,3.2785
